,attribute,given_attribute_type,best_attribute_type,rec_count,fill_count,fill_rate,cardinality,modes,,min_length,max_length,ave_length,,popular_patterns,,,rare_patterns,,__fileposition__
,,,,,,,,,,,,,aaaaaaaaaa                                                                                          ,189217,mastercard                                                                                          ,,,,
,,,,,,,,,,,,,aaaaaaaa aaaaaaa                                                                                    ,8328,american express                                                                                    ,,,,
,,,,,,,,,,,,,aaaaaaaa                                                                                            ,6651,discover                                                                                            ,,,,
10,card5,string,real4,590540,586281,99.278796,119,226,296546,5,5,5,999.9,586281,100,,,,7261
11,card6,string,string15,590540,588969,99.733972,4,debit                                                                                               ,439938,5,15,5,aaaaa                                                                                               ,439938,debit                                                                                               ,,,,7650
,,,,,,,,,,,,,aaaaaa                                                                                              ,148986,credit                                                                                              ,,,,
,,,,,,,,,,,,,aaaaa aa aaaaaa                                                                                     ,30,debit or credit                                                                                     ,,,,
,,,,,,,,,,,,,aaaaaa aaaa                                                                                         ,15,charge card                                                                                         ,,,,
12,addr1,string,real4,590540,524834,88.873573,332,299,46335,5,5,5,999.9,524834,100,,,,8678
13,addr2,string,real4,590540,524834,88.873573,74,87,520481,4,5,4,99.9,524817,10,,,,9067
,,,,,,,,,,,,,999.9,17,100,,,,
14,dist1,string,real4,590540,238269,40.347648,2651,0,19824,3,7,3,9.9,127703,0,,,,9668
,,,,,,,,,,,,,99.9,77605,10,,,,
,,,,,,,,,,,,,999.9,23840,100,,,,
,,,,,,,,,,,,,9999.9,9120,1000,,,,
,,,,,,,,,,,,,99999.9,1,10286,,,,
15,dist2,string,real4,590540,37627,6.371626,1751,7,5687,3,7,4,9.9,13932,0,,,,10905
,,,,,,,,,,,,,999.9,12575,100,,,,
,,,,,,,,,,,,,99.9,9224,10,,,,
,,,,,,,,,,,,,9999.9,1893,1000,,,,
,,,,,,,,,,,,,99999.9,3,10237,,,,
16,p_emaildomain,string,string16,590540,496084,84.005148,59,gmail.com                                                                                           ,228355,5,16,9,aaaaa.aaa                                                                                           ,331685,gmail.com                                                                                           ,,,,12142
,,,,,,,,,,,,,aaaaaaa.aaa                                                                                         ,62181,charter.net                                                                                         ,,,,
,,,,,,,,,,,,,aaaaaaaaa.aaa                                                                                       ,43402,anonymous.com                                                                                       ,,,,
,,,,,,,,,,,,,aaa.aaa                                                                                             ,38856,aim.com                                                                                             ,,,,
,,,,,,,,,,,,,aaaaaa.aaa                                                                                          ,6267,icloud.com                                                                                          ,,,,
,,,,,,,,,,,,,aaaa.aaa                                                                                            ,3922,juno.com                                                                                            ,,,,
,,,,,,,,,,,,,aaaaaaaaaa.aaa                                                                                      ,1785,embarqmail.com                                                                                      ,,,,
,,,,,,,,,,,,,aaaaa.aaa.aa                                                                                        ,1543,yahoo.com.mx                                                                                        ,,,,
,,,,,,,,,,,,,aa.aaa                                                                                              ,1522,me.com                                                                                              ,,,,
,,,,,,,,,,,,,aaaaaaa.aa                                                                                          ,1081,hotmail.de                                                                                          ,,,,
,,,,,,,,,,,,,aaaa.aaa.aa                                                                                         ,749,live.com.mx                                                                                         ,,,,
,,,,,,,,,,,,,aaaaa                                                                                               ,496,gmail                                                                                               ,,,,
,,,,,,,,,,,,,aaaaaaaa.aaa                                                                                        ,439,cableone.net                                                                                        ,,,,
,,,,,,,,,,,,,aaaaaaaaaaa.aaa                                                                                     ,400,centurylink.net                                                                                     ,,,,
,,,,,,,,,,,,,aaa.aa                                                                                              ,389,gmx.de                                                                                              ,,,,
,,,,,,,,,,,,,aaaaa.aa                                                                                            ,351,yahoo.de                                                                                            ,,,,
,,,,,,,,,,,,,aaaaaaa.aaa.aa                                                                                      ,207,prodigy.net.mx                                                                                      ,,,,
,,,,,,,,,,,,,a.aaa                                                                                               ,189,q.com                                                                                               ,,,,
,,,,,,,,,,,,,aaa.aa.aaa                                                                                          ,172,cfl.rr.com                                                                                          ,,,,
,,,,,,,,,,,,,aa.aa.aaa                                                                                           ,164,sc.rr.com                                                                                           ,,,,
,,,,,,,,,,,,,aaaaaaa.aa.aa                                                                                       ,112,hotmail.co.uk                                                                                       ,,,,
,,,,,,,,,,,,,aaaaa.aa.aa                                                                                         ,81,yahoo.co.jp                                                                                         ,,,,
,,,,,,,,,,,,,aaaa.aa                                                                                             ,56,live.fr                                                                                             ,,,,
,,,,,,,,,,,,,aaaaaaaaa-aa.aaa                                                                                    ,35,servicios-ta.com                                                                                    ,,,,
17,r_emaildomain,string,string16,590540,137291,23.248383,60,gmail.com                                                                                           ,57147,5,16,10,aaaaa.aaa                                                                                           ,69196,gmail.com                                                                                           ,,,,17418
,,,,,,,,,,,,,aaaaaaa.aaa                                                                                         ,32598,charter.net                                                                                         ,,,,
,,,,,,,,,,,,,aaaaaaaaa.aaa                                                                                       ,21769,anonymous.com                                                                                       ,,,,
,,,,,,,,,,,,,aaa.aaa                                                                                             ,5752,aim.com                                                                                             ,,,,
,,,,,,,,,,,,,aaaaa.aaa.aa                                                                                        ,1508,yahoo.com.mx                                                                                        ,,,,
,,,,,,,,,,,,,aaaaaa.aaa                                                                                          ,1398,icloud.com                                                                                          ,,,,
,,,,,,,,,,,,,aaaaaaa.aa                                                                                          ,1060,hotmail.de                                                                                          ,,,,
,,,,,,,,,,,,,aaaa.aaa                                                                                            ,937,juno.com                                                                                            ,,,,
,,,,,,,,,,,,,aaaa.aaa.aa                                                                                         ,754,live.com.mx                                                                                         ,,,,
,,,,,,,,,,,,,aa.aaa                                                                                              ,556,me.com                                                                                              ,,,,
,,,,,,,,,,,,,aaa.aa                                                                                              ,384,gmx.de                                                                                              ,,,,
,,,,,,,,,,,,,aaaaaaaaaa.aaa                                                                                      ,303,embarqmail.com                                                                                      ,,,,
,,,,,,,,,,,,,aaaaa.aa                                                                                            ,269,yahoo.de                                                                                            ,,,,
,,,,,,,,,,,,,aaaaaaa.aaa.aa                                                                                      ,207,prodigy.net.mx                                                                                      ,,,,
,,,,,,,,,,,,,aaaaaaaa.aaa                                                                                        ,142,cableone.net                                                                                        ,,,,
,,,,,,,,,,,,,aaaaaaa.aa.aa                                                                                       ,105,hotmail.co.uk                                                                                       ,,,,
,,,,,,,,,,,,,aaaaa                                                                                               ,95,gmail                                                                                               ,,,,
,,,,,,,,,,,,,aaaaa.aa.aa                                                                                         ,72,yahoo.co.jp                                                                                         ,,,,
,,,,,,,,,,,,,aaaa.aa                                                                                             ,55,live.fr                                                                                             ,,,,
,,,,,,,,,,,,,aaa.aa.aaa                                                                                          ,37,cfl.rr.com                                                                                          ,,,,
,,,,,,,,,,,,,aaaaaaaaa-aa.aaa                                                                                    ,35,servicios-ta.com                                                                                    ,,,,
,,,,,,,,,,,,,aaaaaaaaaaa.aaa                                                                                     ,26,centurylink.net                                                                                     ,,,,
,,,,,,,,,,,,,a.aaa                                                                                               ,25,q.com                                                                                               ,,,,
,,,,,,,,,,,,,aa.aa.aaa                                                                                           ,8,sc.rr.com                                                                                           ,,,,
18,c1,string,real4,590540,590540,100,1657,1,316791,3,6,3,9.9,546952,0,,,,22694
,,,,,,,,,,,,,99.9,23251,10,,,,
,,,,,,,,,,,,,999.9,18678,100,,,,
,,,,,,,,,,,,,9999.9,1659,1000,,,,
19,c2,string,real4,590540,590540,100,1216,1,316261,3,6,3,9.9,544563,0,,,,23716
,,,,,,,,,,,,,99.9,27718,10,,,,
,,,,,,,,,,,,,999.9,16429,100,,,,
,,,,,,,,,,,,,9999.9,1830,1004,,,,
20,c3,string,real4,590540,590540,100,27,0,588111,3,4,3,9.9,590506,0,,,,24738
,,,,,,,,,,,,,99.9,34,10,,,,
21,c4,string,real4,590540,590540,100,1260,0,451883,3,6,3,9.9,585864,0,,,,25336
,,,,,,,,,,,,,99.9,2560,10,,,,
,,,,,,,,,,,,,999.9,1265,107,,,,
,,,,,,,,,,,,,9999.9,851,1000,,,,
22,c5,string,real4,590540,590540,100,319,0,372435,3,5,3,9.9,561136,0,,,,26358
,,,,,,,,,,,,,999.9,16385,100,,,,
,,,,,,,,,,,,,99.9,13019,10,,,,
23,c6,string,real4,590540,590540,100,1328,1,341552,3,6,3,9.9,555568,0,,,,27168
,,,,,,,,,,,,,99.9,24852,10,,,,
,,,,,,,,,,,,,999.9,9243,100,,,,
,,,,,,,,,,,,,9999.9,877,1000,,,,
24,c7,string,real4,590540,590540,100,1103,0,523142,3,6,3,9.9,587127,0,,,,28190
,,,,,,,,,,,,,99.9,2056,10,,,,
,,,,,,,,,,,,,9999.9,707,1001,,,,
,,,,,,,,,,,,,999.9,650,100,,,,
25,c8,string,real4,590540,590540,100,1253,0,447667,3,6,3,9.9,583889,0,,,,29212
,,,,,,,,,,,,,99.9,3999,10,,,,
,,,,,,,,,,,,,999.9,1710,100,,,,
,,,,,,,,,,,,,9999.9,942,1000,,,,
26,c9,string,real4,590540,590540,100,205,1,228938,3,5,3,9.9,561619,0,,,,30234
,,,,,,,,,,,,,99.9,24095,10,,,,
,,,,,,,,,,,,,999.9,4826,100,,,,
27,c10,string,real4,590540,590540,100,1231,0,453442,3,6,3,9.9,582953,0,,,,31044
,,,,,,,,,,,,,99.9,4884,10,,,,
,,,,,,,,,,,,,999.9,1708,100,,,,
,,,,,,,,,,,,,9999.9,995,1000,,,,
28,c11,string,real4,590540,590540,100,1476,1,389692,3,6,3,9.9,556045,0,,,,32067
,,,,,,,,,,,,,99.9,24201,10,,,,
,,,,,,,,,,,,,999.9,9134,100,,,,
,,,,,,,,,,,,,9999.9,1160,1000,,,,
29,c12,string,real4,590540,590540,100,1199,0,489199,3,6,3,9.9,586549,0,,,,33090
,,,,,,,,,,,,,99.9,2076,10,,,,
,,,,,,,,,,,,,999.9,1000,100,,,,
,,,,,,,,,,,,,9999.9,915,1006,,,,
30,c13,string,real4,590540,590540,100,1597,1,199337,3,6,3,9.9,417246,0,,,,34113
,,,,,,,,,,,,,99.9,143490,10,,,,
,,,,,,,,,,,,,999.9,28774,100,,,,
,,,,,,,,,,,,,9999.9,1030,1000,,,,
31,c14,string,real4,590540,590540,100,1108,1,320189,3,6,3,9.9,555210,0,,,,35136
,,,,,,,,,,,,,99.9,21322,10,,,,
,,,,,,,,,,,,,999.9,13556,100,,,,
,,,,,,,,,,,,,9999.9,452,1000,,,,
32,d1,string,real4,590540,589271,99.785112,641,0,280130,3,5,3,9.9,315976,0,,,,36159
,,,,,,,,,,,,,999.9,161498,100,,,,
,,,,,,,,,,,,,99.9,111797,10,,,,
33,d2,string,real4,590540,309743,52.450808,641,0,15124,3,5,4,999.9,152963,100,,,,36969
,,,,,,,,,,,,,99.9,109236,10,,,,
,,,,,,,,,,,,,9.9,47544,0,,,,
34,d3,string,real4,590540,327662,55.485149,649,0,73094,3,5,3,9.9,173883,0,,,,37779
,,,,,,,,,,,,,99.9,132308,10,,,,
,,,,,,,,,,,,,999.9,21471,100,,,,
35,d4,string,real4,590540,421618,71.395333,808,0,166571,3,6,3,9.9,190052,0,,,,38589
,,,,,,,,,,,,,999.9,157956,100,,,,
,,,,,,,,,,,,,99.9,73595,10,,,,
,,,,,,,,,,,,,-99.9,10,-15,,,,
,,,,,,,,,,,,,-9.9,4,-1,,,,
,,,,,,,,,,,,,-999.9,1,-122,,,,
36,d5,string,real4,590540,280699,47.532597,688,0,65377,3,5,3,9.9,140163,0,,,,40035
,,,,,,,,,,,,,99.9,109074,10,,,,
,,,,,,,,,,,,,999.9,31462,100,,,,
37,d6,string,real4,590540,73187,12.393233,829,0,45782,3,5,3,9.9,51161,0,,,,40845
,,,,,,,,,,,,,999.9,14873,100,,,,
,,,,,,,,,,,,,99.9,7150,10,,,,
,,,,,,,,,,,,,-99.9,2,-74,,,,
,,,,,,,,,,,,,-9.9,1,-6,,,,
38,d7,string,real4,590540,38917,6.59007,597,0,21135,3,5,3,9.9,27483,0,,,,42079
,,,,,,,,,,,,,99.9,6514,10,,,,
,,,,,,,,,,,,,999.9,4920,100,,,,
39,d8,string,string19,590540,74926,12.68771,12353,0.791665971,1351,3,19,13,1000,14052,140.7916718,,,,42889
,,,,,,,,,,,,,10,11138,0.291666001,,,,
,,,,,,,,,,,,,100,8008,16.04166603,,,,
,,,,,,,,,,,,,100,5518,10.04166603,,,,
,,,,,,,,,,,,,999.999,4644,100.125,,,,
,,,,,,,,,,,,,9.999,4624,0.125,,,,
,,,,,,,,,,,,,1000,3858,100.0416641,,,,
,,,,,,,,,,,,,10,3677,1.041666031,,,,
,,,,,,,,,,,,,10,3654,0.041666001,,,,
,,,,,,,,,,,,,99.999,3446,10.125,,,,
,,,,,,,,,,,,,9.99,2332,0.25,,,,
,,,,,,,,,,,,,999.99,2286,100.25,,,,
,,,,,,,,,,,,,9.9,1978,0,,,,
,,,,,,,,,,,,,999.9,1892,100,,,,
,,,,,,,,,,,,,99.9,1566,10,,,,
,,,,,,,,,,,,,99.99,1559,10.25,,,,
,,,,,,,,,,,,,10000,471,1000.083313,,,,
,,,,,,,,,,,,,9999.999,154,1001.625,,,,
,,,,,,,,,,,,,9999.99,37,1046.75,,,,
,,,,,,,,,,,,,9999.9,32,1001.5,,,,
40,d9,string,string19,590540,74926,12.68771,24,0.791665971,5388,3,19,13,10,38125,0.291666001,,,,47306
,,,,,,,,,,,,,9.999,12868,0.125,,,,
,,,,,,,,,,,,,10,12251,0.041666001,,,,
,,,,,,,,,,,,,9.99,6214,0.25,,,,
,,,,,,,,,,,,,9.9,5468,0,,,,
41,d10,string,real4,590540,514518,87.126698,818,0,221930,3,5,3,9.9,246939,0,,,,48543
,,,,,,,,,,,,,999.9,173369,100,,,,
,,,,,,,,,,,,,99.9,94210,10,,,,
42,d11,string,real4,590540,311253,52.706506,676,0,112281,3,5,4,999.9,127664,100,,,,49354
,,,,,,,,,,,,,9.9,127412,0,,,,
,,,,,,,,,,,,,99.9,56170,10,,,,
,,,,,,,,,,,,,-99.9,6,-13,,,,
,,,,,,,,,,,,,-9.9,1,-7,,,,
43,d12,string,real4,590540,64717,10.958953,635,0,42756,3,5,3,9.9,47952,0,,,,50589
,,,,,,,,,,,,,999.9,10306,100,,,,
,,,,,,,,,,,,,99.9,6457,10,,,,
,,,,,,,,,,,,,-99.9,2,-74,,,,
44,d13,string,real4,590540,61952,10.490737,577,0,48840,3,5,3,9.9,52678,0,,,,51612
,,,,,,,,,,,,,99.9,6011,10,,,,
,,,,,,,,,,,,,999.9,3263,100,,,,
45,d14,string,real4,590540,62187,10.530531,802,0,45266,3,6,3,9.9,48349,0,,,,52423
,,,,,,,,,,,,,999.9,10209,100,,,,
,,,,,,,,,,,,,99.9,3626,10,,,,
,,,,,,,,,,,,,-999.9,2,-193,,,,
,,,,,,,,,,,,,-99.9,1,-83,,,,
46,d15,string,real4,590540,501427,84.909913,859,0,174246,3,5,4,999.9,215472,100,,,,53658
,,,,,,,,,,,,,9.9,200221,0,,,,
,,,,,,,,,,,,,99.9,85719,10,,,,
,,,,,,,,,,,,,-99.9,10,-13,,,,
,,,,,,,,,,,,,-9.9,5,-1,,,,
47,m1,string,string1,590540,319440,54.092864,2,T                                                                                                   ,319415,1,1,1,A                                                                                                   ,319440,F                                                                                                   ,,,,54893
48,m2,string,string1,590540,319440,54.092864,2,T                                                                                                   ,285468,1,1,1,A                                                                                                   ,319440,F                                                                                                   ,,,,55281
49,m3,string,string1,590540,319440,54.092864,2,T                                                                                                   ,251731,1,1,1,A                                                                                                   ,319440,F                                                                                                   ,,,,55669
50,m4,string,string2,590540,309096,52.341247,3,M0                                                                                                  ,196405,2,2,2,A9                                                                                                  ,309096,M0                                                                                                  ,,,,56057
51,m5,string,string1,590540,240058,40.650591,2,F                                                                                                   ,132491,1,1,1,A                                                                                                   ,240058,F                                                                                                   ,,,,56445
52,m6,string,string1,590540,421180,71.321164,2,F                                                                                                   ,227856,1,1,1,A                                                                                                   ,421180,F                                                                                                   ,,,,56833
53,m7,string,string1,590540,244275,41.364683,2,F                                                                                                   ,211374,1,1,1,A                                                                                                   ,244275,F                                                                                                   ,,,,57221
54,m8,string,string1,590540,244288,41.366885,2,F                                                                                                   ,155251,1,1,1,A                                                                                                   ,244288,F                                                                                                   ,,,,57609
55,m9,string,string1,590540,244288,41.366885,2,T                                                                                                   ,205656,1,1,1,A                                                                                                   ,244288,F                                                                                                   ,,,,57997
