Att 1,Att 2,Correlation
V308,V127,0.979139338
V324,V168,0.979107243
V317,V179,0.979075136
V128,V96,0.979006727
V318,V168,0.978943701
V306,V101,0.978807835
V324,V213,0.978772105
V213,V97,0.978746167
V333,V213,0.978707283
V168,V97,0.978690403
V102,V280,0.978641951
V168,V295,0.978553283
V127,V103,0.978546518
V213,V128,0.978458721
V178,V103,0.978438457
V298,V105,0.978285248
V280,V213,0.978040279
V127,V97,0.978029034
V97,V308,0.977982664
V280,V168,0.97787969
V128,V102,0.977777983
V253,V254,0.977727756
V308,V103,0.977575214
V213,V204,0.977560023
V323,V168,0.977481101
V178,V294,0.977388825
V127,V318,0.977375634
V178,V295,0.977284672
V96,V168,0.977062554
V106,V299,0.977030369
V164,V202,0.976882307
D12,D6,0.976833947
V307,V179,0.976457023
V317,V213,0.976308487
V213,V308,0.976228577
V149,V156,0.976168005
V168,V333,0.976111292
V148,V155,0.975978398
V102,V168,0.975952985
C8,C2,0.975862992
V33,V94,0.97579594
V306,V143,0.975744816
V143,V126,0.975717777
V143,V331,0.975687803
V280,V128,0.975599138
V168,V128,0.975077678
V324,V178,0.975028297
V97,V178,0.974864831
C6,C2,0.974844848
V231,V219,0.974697647
V329,V299,0.974647119
V333,V178,0.974567856
C11,C4,0.974546637
V280,V178,0.974489121
V133,V168,0.974485399
V332,V168,0.974479406
V295,V133,0.974376096
V242,V244,0.974318364
V128,V295,0.973998926
V212,V179,0.973843499
V294,V179,0.973807853
V128,V178,0.973796138
V307,V213,0.973726534
V308,V133,0.973050116
V28,V27,0.973049409
V311,V206,0.973024859
V150,V151,0.972867322
V168,V127,0.972712271
V133,V280,0.972635862
V168,V308,0.972532002
C2,C4,0.972133774
V215,V278,0.971923198
V178,V308,0.971656917
V295,V317,0.971503795
V308,V96,0.971315034
V308,V307,0.971068855
V92,V50,0.970760063
C10,C2,0.970623909
V272,V271,0.970620205
V191,V196,0.970559327
V307,V294,0.970465124
V102,V308,0.970417555
V143,V202,0.970196914
V318,V317,0.970184556
V221,V222,0.970039574
V329,V330,0.969601405
V218,V219,0.96956274
V329,V106,0.969386443
V213,V294,0.96936882
V168,V317,0.968773456
V10,V11,0.968669871
V287,V327,0.968657215
V150,V159,0.968533828
V105,V330,0.968189013
V28,V89,0.968086463
V297,V328,0.967934121
V127,V280,0.967890634
C1,C4,0.9678002
C1,C8,0.967746353
V48,V49,0.967743763
V307,V318,0.967538585
V280,V317,0.967506895
V168,V307,0.967226611
V127,V295,0.967160338
V212,V133,0.96676355
V295,V307,0.966587274
V31,V92,0.965936496
V280,V307,0.965869868
V212,V102,0.965592451
V202,V263,0.965591768
V292,V291,0.965462058
V21,V22,0.964627296
V71,V50,0.964355051
V203,V204,0.964349033
V217,V167,0.964245271
V294,V168,0.96385019
V72,V71,0.96381878
V212,V332,0.963737943
V178,V204,0.963685384
V249,V248,0.963351223
V236,V237,0.963245225
V96,V212,0.963134252
V93,V92,0.963107772
V179,V204,0.963056821
V323,V212,0.96304582
V57,V58,0.962970882
V231,V177,0.962893766
V304,V302,0.962786249
C8,C11,0.962721578
V151,V159,0.962705001
V212,V127,0.962619261
C14,C11,0.962464583
C6,C4,0.962319274
V70,V69,0.962134066
V269,V129,0.961926403
V212,V317,0.961856679
V324,V105,0.961710553
V160,V145,0.961668725
V330,V298,0.961628705
V32,V50,0.961004124
V177,V217,0.960985175
V106,V105,0.96093659
V324,V329,0.960935101
V233,V179,0.960801668
V71,V92,0.960690724
V153,V155,0.960660887
V329,V97,0.960596439
V211,V273,0.960452895
V187,V192,0.960413262
V129,V266,0.960216492
C4,C8,0.959995481
V296,V105,0.959819328
V90,V91,0.959691608
V285,V326,0.959616871
V219,V168,0.959292063
V33,V34,0.959242767
V280,V329,0.959217007
V167,V231,0.959153197
V270,V272,0.959013841
V57,V15,0.958967042
V212,V203,0.958904625
V33,V15,0.958772809
V71,V31,0.958731975
V308,V317,0.958704446
V144,V150,0.958449422
C10,C1,0.958202181
V30,V29,0.957951931
V212,V307,0.957834087
V42,V84,0.957588352
V178,V233,0.957491947
V307,V127,0.95746095
V192,V193,0.957330621
V212,V134,0.957212364
V206,V266,0.956989464
D6,D4,0.956965773
V129,V206,0.956911514
V212,V318,0.956805849
V233,V177,0.956800086
V324,V298,0.956528735
V330,V296,0.956443014
V168,V233,0.956118999
C10,C11,0.956055732
V253,V248,0.955887695
V269,V206,0.955650792
V298,V299,0.95561501
V179,V232,0.955463852
V213,V275,0.955416819
V73,V74,0.95526383
V199,V190,0.955217671
V84,V63,0.955156389
V21,V84,0.955047862
V317,V133,0.954633603
V158,V157,0.954519889
V254,V248,0.954492456
V233,V167,0.954352853
V179,V219,0.954218236
V231,V179,0.953727882
V167,V178,0.953658771
V155,V156,0.953647305
V309,V334,0.953625192
V294,V212,0.953604844
V15,V94,0.953581706
V178,V232,0.953534084
V42,V63,0.953351148
V212,V103,0.95328526
V217,V179,0.953271314
V163,V162,0.953248621
V80,V81,0.953223275
V60,V59,0.953204438
V218,V232,0.953061641
V224,V225,0.95289935
V168,V217,0.952723971
V145,V144,0.952648992
C4,C10,0.952466432
V273,V231,0.952442663
V133,V307,0.952291906
V212,V295,0.952101043
V148,V153,0.95207147
V219,V167,0.952024663
V51,V52,0.952022121
V43,V42,0.952001533
V211,V178,0.951913543
V21,V17,0.951808727
C14,C1,0.951761
V178,V219,0.951569004
V103,V329,0.951535186
V232,V168,0.951470647
V323,V105,0.951278381
V295,V329,0.95106545
V294,V295,0.951035667
V94,V51,0.950989401
V322,V133,0.950919689
V177,V232,0.950787479
V299,V105,0.950780824
V265,V204,0.950778373
V105,V333,0.950735514
V333,V212,0.950691801
V177,V178,0.950671707
V277,V215,0.950579509
V217,V273,0.950550296
V323,V329,0.950546974
V128,V212,0.95047231
V322,V317,0.950366417
V333,V329,0.950355842
V148,V149,0.950232201
V96,V329,0.950164742
V317,V102,0.949929803
V102,V322,0.949908595
V278,V276,0.949781113
V322,V294,0.949674512
V231,V178,0.949606188
V273,V275,0.949555885
V334,V129,0.949515237
V217,V178,0.949481932
V212,V97,0.949451846
V296,V324,0.949447132
V161,V163,0.949293033
V329,V128,0.949252897
V324,V212,0.949246496
V276,V216,0.949140167
V212,V280,0.949093837
V155,V154,0.94899956
V277,V278,0.948988539
V179,V167,0.948751441
V232,V167,0.948713535
V212,V308,0.948711774
V102,V95,0.9486838
V309,V266,0.948351298
V132,V133,0.948207009
V167,V213,0.948126281
V329,V308,0.948090617
V58,V79,0.947932343
V279,V102,0.947920546
V307,V96,0.947639928
V308,V204,0.947549072
V323,V298,0.947484439
V177,V219,0.94728618
V133,V211,0.947274216
V329,V134,0.947254055
V332,V331,0.947138313
V183,V182,0.947036365
V213,V211,0.946945004
V127,V317,0.946938388
V63,V21,0.94692881
V235,V181,0.946889916
V101,V102,0.946805478
V318,V329,0.94666476
V15,V50,0.946629971
V317,V96,0.946629295
V133,V167,0.946623535
V307,V102,0.946601389
V307,V128,0.946515354
V309,V269,0.946494149
V178,V202,0.946420751
V309,V206,0.946406719
V95,V133,0.946187102
V239,V238,0.946169056
V73,V94,0.946164846
V294,V280,0.946095432
V204,V128,0.946093725
V231,V168,0.946049083
V317,V134,0.945988047
V237,V183,0.945906911
V92,V32,0.945899166
V102,V293,0.945876146
V298,V333,0.945847791
V93,V72,0.945832098
V133,V316,0.945821141
V140,V139,0.945769549
V98,V325,0.945763867
V333,V204,0.945674165
V177,V179,0.945524686
V178,V132,0.945519408
V279,V133,0.945446771
V177,V133,0.945361105
V178,V316,0.945358132
V279,V178,0.945292685
V211,V179,0.945079231
V178,V95,0.945013602
V322,V178,0.94500798
V102,V132,0.944925874
V307,V134,0.944902692
V48,V90,0.944900914
V167,V102,0.944834805
V18,V21,0.944754479
V95,V323,0.944748082
V323,V279,0.94472284
V96,V322,0.944703454
V322,V323,0.944679736
V164,V133,0.944671812
V273,V233,0.944524233
V133,V101,0.944506453
V317,V164,0.944479286
V63,V64,0.944449769
V332,V126,0.944405843
V332,V132,0.944250518
V211,V102,0.944153576
V127,V204,0.944049637
V42,V21,0.944026954
V332,V316,0.94398913
V213,V202,0.943924086
V39,V40,0.943888281
V204,V332,0.943863386
V177,V213,0.943841446
V332,V306,0.94383347
V245,V259,0.943831638
V134,V204,0.943813054
V72,V58,0.943713478
V134,V322,0.943700133
V33,V16,0.943635674
V101,V178,0.943608907
V133,V293,0.943569306
V133,V331,0.943550804
V293,V178,0.943530052
V105,V97,0.943495797
V177,V102,0.943360823
V204,V318,0.943353236
V318,V322,0.943266361
V57,V71,0.943166287
V331,V317,0.943154838
V127,V331,0.943087345
V332,V279,0.942745662
V323,V132,0.942727588
V322,V332,0.942702999
V102,V316,0.942673112
V307,V331,0.942669669
V332,V95,0.942664855
V88,V41,0.942585952
V151,V145,0.942457464
V150,V160,0.942301305
V134,V132,0.942292838
V323,V316,0.942288217
V102,V164,0.942181344
V317,V211,0.942030931
V294,V164,0.942029048
V101,V323,0.941963185
V322,V307,0.941759211
V323,V293,0.941745391
V105,V332,0.9417309
V279,V179,0.941708419
V322,V179,0.941706329
V333,V331,0.941697196
V95,V179,0.941600642
V201,V200,0.941581735
V96,V95,0.941442803
V332,V329,0.941425796
V103,V204,0.941415433
V127,V322,0.941411219
V214,V278,0.941354404
V317,V167,0.941168889
V331,V178,0.941135217
V126,V178,0.941080977
V103,V95,0.941031189
V307,V204,0.941030831
V95,V134,0.941029834
V296,V323,0.941005551
V57,V73,0.940898122
V103,V322,0.940840744
V322,V295,0.940580791
V33,V51,0.940496538
V96,V279,0.940486526
V168,V167,0.940361587
V96,V204,0.940357368
V103,V317,0.940347429
V213,V273,0.940310524
V323,V204,0.940262932
C12,C2,0.940258433
V133,V204,0.940256323
V204,V295,0.94015163
V127,V126,0.940138957
V126,V128,0.940126003
V332,V101,0.940122669
V279,V134,0.940011994
V338,V339,0.940008905
V102,V204,0.939971787
V332,V293,0.939949295
V279,V103,0.939929425
V177,V317,0.939922052
V97,V204,0.939915089
V132,V179,0.9398593
V324,V204,0.939845088
V134,V316,0.939770887
V332,V211,0.939691995
V179,V316,0.939639299
V167,V332,0.939611366
V329,V127,0.939595646
V213,V316,0.939590684
V132,V213,0.939527314
V148,V154,0.939466286
V213,V279,0.939372754
V277,V216,0.939313838
V202,V179,0.939283941
V95,V213,0.939259369
V101,V179,0.939227227
V179,V293,0.939154219
V322,V213,0.9391321
V280,V204,0.93910193
V102,V331,0.939009471
V50,V57,0.938989239
V133,V143,0.938967026
V167,V323,0.938960822
V329,V307,0.938922552
V16,V57,0.938881374
C2,C7,0.938867028
V294,V331,0.938820005
V133,V202,0.93878938
V164,V178,0.938776841
V71,V32,0.938717317
V167,V96,0.938695796
V307,V103,0.938591973
V333,V296,0.938570396
V275,V211,0.938479876
V317,V143,0.93842725
V318,V316,0.938424449
V96,V101,0.938408172
V144,V159,0.938406998
V127,V211,0.938246304
V299,V296,0.938180123
V134,V101,0.938176923
V151,V152,0.938173789
V312,V336,0.938160785
V330,V297,0.938134185
V126,V133,0.938127136
V178,V306,0.938043753
V127,V167,0.938037959
V307,V97,0.938025733
V101,V103,0.937883646
V333,V126,0.937856964
V303,V304,0.937836105
V332,V298,0.93780736
V102,V143,0.937742182
V327,V326,0.937716616
V177,V332,0.937538785
V143,V294,0.937531762
V321,V320,0.937499674
V332,V202,0.937434142
V96,V211,0.937409881
V293,V96,0.937402358
V331,V128,0.937365505
V323,V211,0.937191635
V213,V101,0.937185701
V317,V97,0.937164178
V134,V293,0.937163502
V84,V85,0.937155764
V213,V293,0.937048613
V308,V306,0.936988859
V167,V212,0.936981226
V202,V212,0.936953674
V293,V103,0.936852026
V331,V308,0.936787714
V329,V102,0.936733867
V323,V177,0.936695203
V322,V280,0.9366489
V306,V333,0.93663228
V96,V132,0.936595109
V331,V179,0.936529652
V177,V96,0.936494944
V331,V213,0.936452856
V232,V273,0.936425835
V179,V126,0.936400501
V294,V329,0.936373964
V331,V134,0.93636573
V202,V127,0.936308391
V104,V330,0.936244831
V332,V164,0.936240174
V298,V106,0.936215799
V279,V318,0.936210644
V94,V57,0.936172764
V126,V213,0.936155863
C14,C2,0.936148496
V331,V318,0.936138917
V322,V97,0.936090119
V177,V127,0.936063414
V324,V322,0.936061766
V95,V324,0.936051596
V97,V95,0.936049303
V96,V164,0.936025799
V323,V164,0.935977298
V134,V167,0.93594939
V51,V73,0.935877037
V212,V211,0.935864493
V128,V317,0.93579584
V279,V324,0.935689866
V102,V202,0.935667526
V73,V33,0.935624711
V127,V132,0.93559578
V164,V307,0.935498658
V168,V218,0.935449206
V133,V306,0.935411152
V27,V89,0.93533188
V164,V318,0.935313919
V318,V167,0.935310077
V127,V164,0.935303304
V164,V134,0.935254313
V63,V59,0.934989513
V204,V317,0.934958042
V307,V202,0.934886522
V211,V134,0.934864577
V306,V127,0.934860661
V136,V137,0.934824479
V279,V97,0.934759084
V168,V211,0.934720533
V132,V103,0.934625109
V132,V318,0.934607483
V211,V318,0.934492588
V22,V42,0.934388761
V295,V279,0.934332967
V96,V316,0.93427266
V306,V323,0.934160703
V168,V177,0.934138461
V126,V134,0.934065628
V331,V323,0.93398411
V168,V202,0.93397886
V323,V126,0.933971753
V331,V96,0.933907838
V50,V93,0.933851975
V94,V34,0.933830993
V211,V307,0.933679375
V134,V177,0.933642413
V202,V317,0.933561999
V187,V193,0.933543643
V164,V213,0.93342886
V178,V143,0.933418345
V128,V306,0.933375979
V95,V318,0.933361342
V318,V293,0.933354291
V95,V127,0.933316878
V126,V102,0.933293734
V213,V306,0.933272172
V294,V167,0.933253978
V167,V307,0.933224966
V105,V96,0.933182092
V306,V179,0.933156101
V179,V164,0.933132495
V316,V127,0.933116134
V177,V318,0.933004331
V249,V254,0.933000482
V94,V16,0.933000482
V212,V275,0.932892593
V132,V333,0.932821526
V100,V326,0.932768903
V333,V322,0.932696115
V308,V322,0.932658065
V95,V333,0.932550493
V211,V294,0.932514919
V316,V333,0.932496247
V280,V105,0.932378416
V179,V105,0.932369985
V168,V105,0.932369576
V279,V333,0.932338885
V127,V279,0.93232372
V316,V103,0.932292596
V147,V146,0.932215885
V29,V90,0.932191797
V103,V105,0.93213501
V133,V329,0.932128477
V128,V322,0.932099523
V324,V101,0.932046612
V168,V329,0.931966637
V329,V179,0.931876348
V97,V101,0.931851176
V294,V177,0.931818359
V293,V324,0.931740154
V330,V328,0.931737948
V103,V167,0.931666846
V35,V36,0.931576495
V72,V50,0.931572605
V143,V96,0.931485251
V329,V317,0.931465729
V294,V318,0.93143823
V323,V143,0.931363838
V266,V207,0.931359189
V306,V102,0.931342082
V295,V293,0.931324197
V177,V307,0.931292935
V132,V324,0.931288314
V148,V156,0.931157725
V16,V34,0.931086466
V279,V280,0.931009376
V72,V92,0.931000299
V273,V219,0.930933624
V212,V177,0.93090857
V99,V327,0.930861895
V306,V134,0.930799588
V324,V316,0.930773463
V332,V296,0.93076687
V293,V97,0.930759748
V218,V233,0.930716236
V295,V167,0.930687719
V101,V318,0.930579866
V168,V322,0.930411871
V143,V134,0.93040794
V127,V101,0.930397481
V168,V279,0.930339627
V95,V168,0.930265754
V103,V164,0.930222964
V295,V95,0.930125787
V164,V295,0.930065883
V318,V143,0.930005614
V215,V276,0.929873729
V231,V211,0.929832844
V128,V132,0.92981283
V306,V318,0.929791297
V202,V96,0.92970768
V154,V156,0.929691442
V143,V332,0.929585353
V186,V190,0.929557645
V128,V105,0.929511482
V217,V211,0.929437597
V202,V323,0.929435357
V293,V127,0.929372596
V127,V143,0.929287354
V202,V308,0.929231895
V179,V143,0.929177015
V143,V307,0.929090605
V103,V177,0.929061482
V126,V308,0.929059787
V269,V207,0.928991287
V333,V101,0.928803705
V132,V97,0.928646476
V103,V211,0.928615103
V331,V103,0.928567356
V293,V333,0.928554176
V15,V79,0.928438429
V331,V295,0.928361668
V294,V204,0.928195106
V93,V31,0.928170624
V300,V301,0.928109427
V295,V177,0.928092726
V72,V31,0.928026395
C1,C12,0.927939488
V18,V22,0.927913297
V168,V132,0.927852644
V259,V221,0.927827667
V266,V311,0.92781446
V95,V128,0.927770475
V316,V168,0.927679962
V134,V202,0.927600981
V177,V273,0.92757718
V295,V211,0.927546554
V333,V167,0.927528759
V168,V101,0.927285915
V143,V103,0.927252081
V293,V168,0.927217926
V202,V318,0.927212692
V316,V128,0.927186256
V101,V295,0.927062835
V202,V333,0.927052545
V143,V295,0.927021308
V143,V213,0.926958167
V179,V218,0.926955538
V293,V280,0.926942408
V204,V202,0.926892642
V280,V95,0.926865233
V311,V269,0.926861433
V155,V149,0.926838218
V128,V167,0.92673529
V266,V334,0.926682064
V128,V279,0.926490256
V168,V298,0.926421299
V57,V79,0.926380919
V126,V318,0.926336182
V298,V179,0.926294832
C1,C7,0.926258007
V316,V97,0.926257451
V178,V218,0.926247765
V96,V126,0.926244842
V58,V15,0.92622562
V308,V316,0.92622053
V217,V218,0.926164234
V280,V167,0.92609604
V324,V167,0.926076389
V269,V334,0.926063362
V128,V202,0.925978268
V333,V211,0.925954044
V212,V316,0.925922463
V97,V167,0.925914656
V12,V13,0.925847571
V302,V59,0.925840996
C9,C5,0.925785819
V212,V132,0.925753718
V91,V49,0.925745627
V50,V16,0.925618398
V134,V105,0.925463921
V280,V164,0.925433242
V331,V168,0.925373148
V167,V273,0.925299067
V295,V316,0.925293058
V69,V90,0.925254951
V128,V211,0.925239559
V167,V308,0.92514781
V126,V168,0.925132807
V158,V156,0.925046546
V93,V71,0.92483898
V275,V219,0.92482728
V157,V155,0.924755424
V97,V164,0.924645427
V308,V164,0.924606183
V164,V324,0.924596713
V280,V331,0.924591364
V233,V211,0.924479979
V333,V177,0.924404368
V103,V126,0.924396162
V57,V33,0.924336968
V328,V106,0.92427794
V183,V180,0.924192101
V167,V218,0.924190901
V212,V279,0.924179125
V164,V333,0.924162038
V202,V294,0.924092547
V96,V306,0.924070783
V331,V324,0.924049071
V79,V93,0.924026454
V211,V308,0.923963256
V97,V331,0.923944844
V126,V324,0.923923168
V295,V132,0.923878325
V95,V212,0.923870861
V306,V324,0.923829042
V308,V279,0.923767227
V336,V131,0.923727149
V177,V128,0.923723323
V212,V322,0.923676521
V101,V128,0.923622831
V128,V164,0.923545673
V111,V113,0.923440541
V311,V334,0.92343711
V213,V105,0.923361839
V51,V15,0.923124704
V280,V177,0.922909114
V101,V280,0.922873048
V324,V177,0.922753098
V101,V212,0.922695476
V177,V97,0.922667775
V293,V212,0.922600636
V270,V271,0.922575672
V293,V128,0.922541234
V234,V237,0.92247376
V211,V280,0.922443831
V329,V213,0.922437922
V143,V280,0.922312298
V211,V97,0.922291931
V308,V132,0.92224813
V177,V308,0.922186313
V298,V280,0.922175917
V103,V306,0.92216186
V15,V34,0.922002452
V287,V326,0.921988165
C6,C8,0.921971719
V211,V324,0.921963017
V168,V306,0.921960796
V319,V321,0.921923187
V331,V212,0.921760488
V204,V263,0.921737948
V143,V97,0.921640011
V144,V151,0.921604002
V212,V126,0.92150911
V143,V324,0.921507377
V97,V298,0.921467884
V202,V103,0.921387029
V295,V105,0.9211885
V316,V280,0.921110829
V22,V63,0.920912821
V164,V168,0.920904153
V308,V95,0.920862985
V309,V129,0.92079265
V105,V308,0.920717786
V330,V183,0.920676188
V203,V168,0.920583897
V54,V53,0.920436348
V43,V64,0.920388431
V233,V213,0.92035074
V202,V295,0.920303664
V105,V127,0.920278856
V284,V325,0.920235014
V105,V178,0.919912765
V280,V132,0.919754326
V126,V97,0.919754279
V308,V293,0.919615481
V233,V275,0.919611831
V212,V164,0.919496653
V273,V179,0.919456243
V50,V21,0.91933382
V178,V329,0.919235834
V306,V212,0.918956704
V143,V308,0.918897789
V92,V57,0.918740651
V149,V158,0.918617605
V75,V76,0.918448821
V313,V315,0.918433231
V308,V294,0.918395411
V143,V128,0.918349116
V211,V232,0.918337034
V191,V193,0.918330233
V177,V218,0.918299895
