V332,V127,0.98970872
V276,V216,0.9896123
V127,V323,0.989514446
V232,V231,0.989494438
V321,V278,0.989490933
V143,V132,0.989431441
V143,V316,0.989288047
V163,V162,0.989135934
V101,V231,0.989114204
V233,V219,0.989074585
V219,V324,0.98906556
V318,V103,0.989043773
V333,V128,0.988987814
V231,V293,0.988882391
V133,V324,0.988803313
V320,V278,0.988785344
V211,V164,0.98875684
V306,V126,0.988750512
V324,V317,0.988730315
V263,V306,0.988420949
V133,V103,0.98819591
V180,V182,0.987955926
V324,V128,0.987805611
V95,V231,0.987801138
V278,V276,0.987752404
V102,V233,0.987669399
V103,V233,0.987647363
V231,V279,0.987604819
V164,V177,0.987576148
V143,V331,0.987412554
V278,V214,0.987328244
V97,V318,0.987229331
V324,V231,0.987174825
V217,V279,0.987172143
V127,V133,0.987082103
V219,V217,0.986900266
V231,V103,0.98685087
V95,V217,0.986812208
V97,V280,0.986749075
V164,V167,0.986672716
V178,V212,0.98664145
V273,V316,0.986504684
V213,V212,0.986416773
V276,V215,0.986257205
V100,V327,0.986232314
V128,V134,0.986208281
V128,V308,0.986071699
V102,V231,0.985891196
V95,V233,0.985739522
V103,V280,0.985721993
V103,V217,0.985655027
V279,V233,0.985561468
V103,V295,0.985441427
V127,V333,0.985391017
V102,V217,0.985261674
V101,V217,0.985253909
V143,V177,0.985231063
V217,V293,0.985056191
V102,V318,0.984951203
V97,V128,0.984929501
V251,V250,0.984871736
V323,V128,0.98487022
V133,V97,0.984726649
V127,V96,0.984562928
V233,V101,0.984539553
V271,V270,0.984457082
V293,V233,0.984318578
V167,V143,0.984215145
V97,V295,0.984215106
V103,V128,0.984179188
V319,V278,0.984054325
V128,V332,0.983836182
V133,V318,0.983752116
V318,V96,0.983713987
V233,V97,0.9836146
V134,V295,0.98346382
V102,V127,0.983279042
V280,V134,0.983257589
V211,V143,0.983213078
V317,V294,0.983021192
D1,D2,0.982920404
V307,V323,0.982705801
V307,V332,0.982604299
V324,V127,0.982511019
V234,V236,0.982495824
V323,V233,0.982495079
V126,V202,0.982479603
V219,V322,0.98234227
V212,V168,0.982177843
C10,C7,0.982078207
V232,V102,0.982078189
V103,V232,0.98184278
V215,V277,0.981795243
V242,V244,0.981585983
V323,V219,0.981500696
V331,V126,0.981192625
V127,V134,0.981187187
V307,V317,0.98104699
C6,C14,0.980823707
V153,V154,0.98076232
V217,V97,0.980681291
C12,C10,0.980589092
V106,V299,0.980352032
V232,V323,0.980267204
V150,V145,0.980146424
V216,V277,0.980068414
V132,V273,0.980017375
V216,V321,0.980009714
V96,V280,0.979899576
V97,V219,0.979876743
C1,C6,0.979797505
V273,V231,0.979760994
V322,V126,0.979646513
V128,V96,0.979644253
V321,V319,0.979578403
V273,V322,0.979564551
V232,V95,0.979506774
V135,V276,0.979389645
V232,V279,0.979256337
V321,V214,0.979191397
V232,V97,0.978813447
V295,V102,0.978811462
V161,V162,0.978608006
C8,C12,0.978601981
V134,V273,0.978569175
C8,C7,0.978489016
V219,V231,0.9783711
V132,V126,0.978327276
V96,V295,0.978264343
V214,V216,0.978172768
V102,V128,0.978143957
V256,V255,0.978081774
V231,V132,0.978047978
V254,V253,0.977994339
V333,V307,0.977803172
V101,V232,0.977794937
V97,V231,0.97775656
V102,V219,0.977693375
V102,V280,0.977620573
V323,V217,0.977595604
V217,V273,0.977556101
V232,V293,0.977525355
V231,V134,0.977520295
V31,V50,0.977313999
V316,V231,0.977241172
V128,V133,0.977231172
V298,V105,0.977012615
V128,V318,0.976845834
V127,V103,0.97681814
V126,V95,0.976754612
V134,V233,0.976695464
V273,V101,0.976686467
V103,V219,0.976638582
V133,V273,0.976231257
V277,V278,0.976143213
V222,V221,0.976134408
V127,V97,0.976084836
V50,V32,0.976038873
V179,V134,0.976033234
V273,V95,0.975856172
V126,V101,0.975833638
V127,V308,0.975793956
V133,V178,0.975585539
V324,V307,0.975579202
V134,V217,0.975502844
V179,V103,0.975458047
V179,V323,0.97543802
V275,V273,0.975435093
V178,V102,0.975430441
V126,V279,0.975304915
V316,V126,0.9752833
V133,V233,0.975151633
V333,V308,0.975122795
V231,V133,0.975112599
V179,V324,0.975103551
V179,V333,0.975078061
V263,V202,0.975011318
V323,V178,0.974960096
V179,V318,0.97491848
V293,V273,0.974848816
V179,V96,0.974819888
V233,V273,0.974810619
V308,V324,0.974762632
V178,V96,0.974655326
V126,V293,0.974612122
V97,V179,0.974507601
V273,V103,0.974464594
V178,V332,0.974408045
V217,V132,0.974404595
V149,V156,0.974324566
V179,V212,0.974032943
V299,V329,0.973985907
V279,V273,0.973916116
V126,V211,0.973869333
V308,V318,0.973838249
V133,V295,0.973748909
V295,V179,0.973695637
V126,V177,0.973683154
V279,V219,0.973642785
V95,V219,0.973642205
V217,V133,0.97363623
V316,V217,0.973628078
V102,V179,0.973557168
V273,V102,0.973539591
V126,V164,0.9734857
V167,V126,0.973459528
V132,V233,0.973407207
V320,V321,0.973295879
V179,V332,0.973252814
V22,V21,0.973168592
V280,V179,0.973160037
V151,V150,0.97313251
V219,V96,0.972932988
V295,V317,0.97289689
V278,V135,0.972747245
V233,V316,0.972522044
V287,V327,0.972465897
V179,V133,0.972307333
V233,V96,0.972281206
V133,V280,0.972273205
V323,V308,0.972211188
V231,V323,0.972145825
V127,V318,0.972144311
V94,V33,0.971898794
V280,V128,0.971721702
C2,C6,0.971721118
V216,V319,0.971562572
V307,V308,0.97136681
V332,V308,0.97098367
V134,V213,0.970786954
V318,V317,0.970722905
V134,V178,0.970521257
V232,V134,0.970478179
V323,V213,0.970189813
V96,V213,0.970103487
V49,V48,0.970031722
V318,V213,0.969957941
V263,V308,0.969835775
V213,V332,0.969774927
D6,D12,0.969769481
V213,V333,0.969731607
V128,V295,0.969705281
V148,V155,0.969687749
V297,V328,0.969524358
V102,V213,0.969494315
V92,V50,0.969443619
C2,C8,0.969414871
V126,V143,0.969377985
V178,V318,0.969357069
V324,V168,0.969350096
V324,V273,0.969262213
V308,V280,0.969218567
V133,V213,0.969198846
V273,V232,0.969143825
V133,V232,0.969122945
V150,V159,0.968953289
V245,V259,0.968928563
V213,V103,0.968801324
V168,V97,0.968785492
V168,V333,0.968733257
V317,V280,0.968717554
V168,V103,0.968448505
V134,V168,0.968411133
V101,V219,0.968400059
V217,V96,0.968308486
V10,V11,0.968144437
V232,V96,0.968120491
V33,V34,0.968119423
V277,V214,0.9679806
V219,V293,0.96795408
V323,V168,0.967761847
V295,V308,0.967716676
V103,V178,0.96764766
V218,V219,0.967598761
V267,V268,0.967587198
V178,V333,0.967509259
V324,V213,0.967343463
V280,V168,0.96733978
C11,C4,0.967338514
V318,V168,0.967317641
V97,V213,0.967279468
V96,V168,0.96720474
V213,V295,0.966846064
V329,V330,0.96675349
V295,V168,0.96669539
V106,V329,0.966685165
V232,V132,0.966603364
V330,V105,0.966057953
V178,V127,0.965876711
C2,C4,0.965873128
V273,V97,0.965871508
V280,V213,0.965832466
V295,V178,0.965779886
V316,V232,0.965716988
V17,V21,0.965642479
V134,V308,0.96552933
V273,V331,0.965272413
V50,V71,0.965212623
V324,V178,0.965157445
V253,V248,0.96508808
V332,V168,0.965013804
V97,V178,0.964955484
V70,V69,0.964934312
V204,V265,0.964887568
V137,V278,0.964881442
V168,V102,0.964544035
V128,V179,0.964501269
V127,V179,0.964472561
V204,V212,0.964373236
V97,V308,0.964236184
V134,V219,0.964207444
V31,V92,0.964124455
V204,V203,0.963939716
V280,V178,0.963827119
V308,V103,0.963759857
V133,V219,0.963618836
V253,V267,0.963599721
V96,V231,0.963421059
V316,V275,0.963414468
V127,V280,0.963400804
V105,V324,0.963400618
V159,V151,0.963254513
V196,V191,0.963207369
V84,V21,0.963199986
V336,V131,0.962959701
V168,V133,0.962898515
C10,C2,0.962829412
V217,V331,0.962811249
V249,V248,0.96279905
V329,V324,0.962730505
V183,V237,0.962684888
V291,V292,0.962580646
V333,V233,0.962539897
V203,V265,0.962530027
V97,V329,0.96251276
V127,V295,0.962398143
V178,V317,0.962303905
V42,V84,0.962050575
V231,V331,0.961857243
V233,V275,0.961741304
V329,V280,0.96164554
V275,V333,0.961483441
V213,V127,0.961132415
V168,V204,0.960972385
V304,V302,0.960928573
V233,V331,0.960871966
V298,V330,0.960775886
V265,V263,0.960769186
V18,V21,0.960656581
V225,V224,0.960644868
V31,V71,0.96063565
V15,V57,0.960570162
V294,V307,0.960404428
V134,V275,0.96035768
V219,V273,0.959990901
V333,V217,0.959897053
V275,V322,0.959865037
V187,V192,0.959855934
V236,V237,0.959823353
V32,V92,0.959815893
V326,V285,0.959552652
V308,V96,0.959522098
V333,V232,0.959474281
V90,V91,0.959424896
V324,V298,0.959336828
V128,V213,0.959208754
V336,V335,0.959168193
V105,V296,0.959138963
V179,V317,0.959101525
V15,V33,0.959070528
V136,V137,0.959051208
V312,V336,0.959028802
V213,V204,0.959011131
C1,C4,0.958983128
V181,V235,0.958982158
V333,V105,0.958897553
V136,V278,0.958884883
V60,V59,0.958811619
V329,V333,0.958611086
V133,V275,0.958562143
C1,C8,0.958483841
V84,V63,0.95827447
V308,V102,0.958269188
V168,V128,0.958242944
V33,V16,0.958132878
V318,V273,0.958116425
V331,V306,0.958115166
V231,V275,0.958015758
V307,V295,0.957908482
V232,V275,0.95786946
V71,V92,0.957854173
V322,V306,0.957774436
V57,V16,0.95774759
V217,V275,0.957732806
V275,V132,0.957658619
V132,V219,0.957607114
V308,V133,0.95741133
V266,V269,0.957369156
V318,V307,0.957344687
V128,V178,0.957322455
V105,V106,0.957211383
V316,V306,0.957166134
V71,V32,0.957153231
V39,V40,0.957144067
V280,V307,0.95705355
V103,V275,0.956946353
V51,V94,0.956924988
V153,V155,0.95683537
V248,V254,0.95669775
V331,V232,0.956658313
V219,V316,0.956645077
V275,V102,0.956638641
V333,V219,0.956554841
D5,D7,0.956428381
V127,V168,0.956367125
V30,V29,0.956355244
V333,V273,0.956268183
V317,V213,0.95621684
V231,V333,0.956156609
V275,V95,0.95606914
V202,V211,0.956064926
V296,V330,0.956003609
V280,V233,0.955958104
V324,V275,0.955950084
V135,V137,0.95564923
V71,V72,0.955463989
V275,V101,0.955407367
C11,C14,0.955392484
V150,V144,0.955383667
V80,V81,0.955319592
V330,V237,0.955301482
V202,V167,0.954936258
V306,V132,0.954648315
V279,V306,0.954624305
V204,V263,0.954403284
V333,V298,0.954364416
V160,V145,0.954298134
V323,V273,0.954233937
V275,V279,0.954120325
V192,V193,0.954019617
V95,V306,0.95382268
V58,V57,0.953757677
C4,C8,0.95371868
V293,V306,0.953703201
V93,V92,0.953604431
C8,C11,0.953538438
V293,V275,0.953491299
V296,V324,0.953469647
V216,V320,0.953226997
V101,V306,0.953202338
V211,V306,0.953184208
V294,V295,0.953179421
V201,V200,0.953156631
V177,V202,0.953120576
V298,V299,0.953119942
V73,V74,0.953061541
V275,V219,0.953006232
V295,V329,0.952996019
V321,V277,0.952974767
V329,V103,0.952971571
V307,V127,0.952815191
V277,V320,0.952624949
V177,V306,0.952516678
V167,V306,0.95236286
V277,V276,0.952351474
V42,V63,0.952288197
V280,V217,0.952228202
V280,V219,0.952040461
C6,C4,0.95179691
V275,V97,0.9516975
V96,V273,0.951679304
V164,V306,0.951583438
V308,V179,0.951430344
V133,V212,0.951413203
V148,V153,0.951326759
V232,V280,0.951302292
V167,V178,0.95124308
V233,V295,0.951218964
V105,V323,0.951139144
V259,V221,0.950954267
D6,D4,0.95059262
V102,V212,0.950590512
V329,V323,0.950532482
V231,V318,0.950525034
V105,V299,0.950478252
V145,V144,0.950382031
V233,V318,0.950351322
V96,V329,0.950240411
V178,V211,0.950186776
V330,V297,0.950055246
V332,V212,0.950037812
V167,V217,0.94982604
V317,V168,0.949791055
V218,V232,0.949733578
V329,V134,0.949513116
V133,V317,0.949379142
V96,V212,0.949341861
V178,V294,0.949293508
V295,V231,0.949259142
V327,V326,0.949211719
V231,V280,0.949178445
V212,V323,0.949177726
V329,V318,0.949174142
V202,V316,0.949163252
V94,V15,0.9490501
V203,V263,0.949032916
V128,V329,0.948940261
V94,V73,0.948858004
V331,V202,0.948811415
V132,V202,0.948746113
V307,V178,0.948648352
V204,V178,0.948447156
V217,V318,0.948440578
V296,V333,0.948270605
V331,V219,0.948232885
V323,V298,0.948208544
V177,V178,0.948117744
V231,V177,0.948066765
V21,V63,0.948032731
V280,V294,0.947998422
V58,V72,0.947991324
V338,V329,0.947980047
V306,V265,0.947958344
V217,V295,0.94792227
V43,V42,0.947870732
V318,V275,0.947845576
V306,V143,0.947816926
V265,V308,0.947655847
V203,V212,0.947596806
V179,V294,0.947535486
V217,V177,0.947431922
V73,V51,0.947405056
V22,V18,0.947307805
V307,V179,0.947145418
V202,V101,0.947087142
V202,V279,0.947010884
V95,V202,0.94693408
V202,V293,0.946910553
V322,V202,0.946870989
V219,V168,0.946533208
C1,C10,0.94639304
V273,V211,0.946330793
V277,V319,0.946309341
V16,V94,0.946251488
V213,V308,0.946199367
V177,V233,0.945928008
V232,V295,0.945677725
V179,V204,0.94535312
V102,V317,0.945258622
V308,V168,0.945210767
V212,V134,0.945137105
C10,C11,0.945106862
V233,V167,0.945090982
V90,V48,0.945019452
V179,V233,0.945002582
V331,V178,0.944845722
V178,V132,0.944751529
V307,V128,0.944670593
V178,V316,0.944603362
V308,V178,0.944575875
V167,V231,0.944494634
V232,V318,0.944426955
V332,V329,0.944284032
V100,V326,0.944266843
V21,V42,0.944249333
V212,V318,0.944228968
V331,V275,0.944211814
V97,V105,0.944189728
V105,V332,0.944076967
C4,C10,0.943907661
V213,V307,0.943826197
V279,V178,0.943814153
V71,V57,0.943783643
C1,C14,0.943756219
V322,V178,0.943675627
V95,V178,0.943626258
V50,V15,0.94362179
V105,V338,0.94357796
V233,V178,0.943528988
V190,V199,0.943521974
V59,V63,0.943451818
V213,V294,0.94339742
V202,V164,0.943396989
V308,V317,0.943112395
V167,V179,0.942959363
V275,V323,0.942959144
V323,V296,0.942773299
V133,V331,0.942749325
V33,V51,0.942584114
V167,V219,0.942443241
V96,V317,0.942376317
V335,V131,0.94230127
V212,V333,0.942244946
V331,V317,0.942087044
V101,V178,0.942082147
V232,V177,0.942081808
V167,V213,0.94204513
V322,V133,0.941990555
V179,V232,0.941961388
V293,V178,0.941892717
V317,V322,0.941811124
V167,V232,0.941805209
V212,V127,0.941750456
V79,V58,0.94171359
V134,V317,0.941493997
V212,V103,0.941364188
V232,V178,0.941352242
V168,V233,0.941218534
V211,V213,0.941138397
V99,V327,0.941138292
V204,V308,0.941060959
V151,V145,0.941029636
V57,V50,0.940915077
V50,V16,0.940806926
V102,V322,0.940778495
V179,V217,0.940774704
V322,V294,0.940747032
V57,V73,0.940673391
V183,V182,0.940617529
V213,V275,0.9405936
V104,V330,0.940560166
V298,V332,0.940471458
V22,V42,0.940184599
V94,V34,0.940110437
V102,V331,0.940081461
V219,V179,0.94003956
V295,V219,0.939996177
V331,V294,0.939948099
V95,V102,0.93965444
V178,V219,0.939645057
V177,V179,0.9395459
V96,V275,0.939543941
V211,V179,0.939536368
V17,V22,0.939499591
V275,V212,0.939443671
V331,V332,0.939438569
V295,V212,0.939391118
V232,V168,0.939223251
V63,V64,0.939167031
V307,V168,0.939124492
V231,V179,0.939098513
V106,V237,0.939047798
V102,V279,0.938958662
V237,V299,0.938892538
V133,V132,0.938889488
V276,V137,0.938882007
V178,V217,0.938770167
V139,V140,0.93870255
V168,V294,0.93870064
V212,V317,0.938581557
V168,V217,0.938546534
V93,V72,0.938380353
V212,V97,0.938335712
V245,V227,0.938223523
V328,V330,0.93818735
V151,V152,0.938131552
V212,V324,0.938079355
V133,V95,0.938049216
V219,V318,0.937930353
V158,V157,0.937896473
V102,V132,0.937733928
V178,V164,0.937719251
V213,V177,0.937669915
V33,V73,0.937661527
V155,V154,0.937589504
V101,V102,0.937566609
V143,V202,0.937474895
V322,V179,0.937400978
V51,V52,0.937296934
V133,V279,0.937253577
V307,V133,0.93718394
V103,V317,0.937172061
V332,V279,0.937164905
V179,V279,0.937160511
V212,V280,0.937139052
V179,V95,0.937111821
V322,V332,0.937055095
V95,V332,0.937041674
V277,V135,0.937011086
V179,V331,0.937001656
V133,V316,0.936920041
V132,V332,0.936862526
V127,V317,0.936826477
V159,V144,0.936822528
V323,V279,0.936818774
V22,V84,0.936805566
V94,V57,0.936734528
V190,V186,0.936639977
V323,V95,0.936628113
V202,V265,0.936622837
V102,V293,0.936597322
V231,V178,0.936568088
V96,V322,0.9365485
V323,V322,0.936540671
V316,V332,0.936476997
V329,V294,0.936403356
V219,V177,0.936371342
V102,V329,0.936319473
V128,V204,0.936207886
V133,V101,0.936172194
V213,V331,0.936059564
V316,V102,0.936037454
V329,V127,0.936016788
V331,V323,0.935989658
V338,V298,0.935968763
V331,V96,0.935888396
V273,V280,0.935734504
V216,V215,0.935677142
V132,V179,0.935669901
V308,V329,0.935627127
V168,V167,0.935571479
V179,V316,0.935554625
V299,V296,0.935474686
V273,V295,0.935456481
V65,V41,0.935391964
V133,V293,0.935099061
V213,V316,0.935075941
V135,V214,0.935075762
V318,V294,0.934937355
V132,V213,0.93482406
V133,V164,0.934752697
V323,V132,0.93466401
V213,V279,0.934658334
V95,V213,0.934651158
V317,V164,0.934621801
V322,V213,0.934560214
V332,V296,0.934535806
V101,V179,0.934443041
V316,V323,0.934439872
V332,V275,0.934382521
V293,V179,0.934336316
V101,V332,0.93430316
V330,V183,0.934213941
V293,V332,0.934146632
V307,V96,0.933858167
V317,V97,0.933849825
V127,V126,0.933766585
V96,V95,0.933702054
V101,V323,0.933609386
V323,V293,0.93352792
V105,V168,0.93348803
V106,V328,0.933424278
V212,V167,0.933357757
V168,V329,0.933291834
V211,V212,0.933110343
V154,V148,0.932996073
V96,V279,0.932886974
V35,V36,0.93287256
V106,V298,0.932791249
V102,V307,0.932701367
V150,V160,0.932596728
V105,V96,0.932562113
V178,V143,0.932484307
V101,V213,0.932334936
V103,V105,0.932334474
V322,V134,0.932240717
V212,V128,0.932229544
V133,V329,0.932186977
V249,V254,0.932171637
V293,V213,0.932123778
V137,V277,0.932084777
V164,V102,0.932065836
V238,V239,0.932060298
V294,V164,0.932005718
V331,V134,0.931996021
V317,V329,0.931988521
V204,V127,0.931930232
V318,V322,0.931890504
V335,V329,0.931838764
V179,V105,0.931589222
V134,V95,0.931576016
V172,V205,0.931553383
V335,V312,0.931444538
V329,V179,0.931403707
V302,V59,0.931349112
V217,V211,0.931305502
V280,V105,0.93119422
V338,V339,0.931180203
V133,V211,0.931149349
V331,V318,0.931125546
V332,V233,0.931044686
V90,V29,0.931016941
V158,V156,0.930976533
V273,V213,0.930966866
V211,V231,0.930963263
V320,V214,0.930854825
V331,V127,0.930767258
V132,V96,0.9306835
V79,V93,0.930583805
V279,V134,0.930560287
V84,V17,0.930530891
C5,C9,0.930527996
V101,V96,0.930439187
V134,V307,0.930392439
V143,V133,0.930371578
V136,V276,0.930273724
V168,V211,0.930264837
V143,V317,0.930257181
V133,V167,0.930213968
V296,V338,0.930198701
V22,V63,0.930100561
V231,V168,0.930084971
V132,V134,0.93006821
V164,V332,0.93004087
V126,V128,0.929965297
V128,V105,0.929704529
V16,V34,0.929604246
V212,V273,0.92956712
V293,V96,0.929466147
V45,V44,0.929301554
V95,V103,0.929240967
V168,V177,0.92923148
V322,V127,0.929202989
V333,V331,0.929139818
V233,V211,0.929132817
V218,V274,0.929013148
V96,V316,0.928949144
V133,V177,0.928947963
V143,V102,0.928936084
V156,V155,0.928922686
V294,V143,0.928904619
V307,V329,0.928814349
V322,V103,0.92878393
V322,V295,0.928719882
V164,V179,0.928661638
V213,V164,0.92864792
V106,V183,0.92863068
V167,V102,0.928626173
V332,V232,0.92853141
V211,V102,0.928530418
V277,V136,0.928487481
V299,V183,0.92848475
V134,V101,0.928449166
V105,V335,0.928414098
V279,V103,0.928281748
V134,V105,0.928106603
V134,V316,0.927993597
V332,V219,0.927977638
V324,V218,0.927795763
V217,V332,0.927785683
V306,V308,0.927785618
V333,V322,0.927741191
V307,V204,0.927697732
V95,V333,0.927658797
V126,V178,0.927624758
V233,V218,0.927547489
V333,V279,0.927481903
V182,V237,0.927427612
V293,V134,0.927404602
V325,V284,0.927345235
V168,V322,0.927341225
V80,V84,0.927330045
V217,V218,0.927329898
V177,V102,0.927120063
V168,V279,0.927074616
V212,V177,0.927066057
V168,V95,0.927051664
V254,V267,0.927013087
V90,V69,0.926989127
V331,V168,0.926913515
V298,V168,0.926874064
V164,V323,0.926870446
V96,V164,0.926842717
V204,V202,0.92677769
V49,V91,0.926731703
V128,V317,0.926620977
V318,V279,0.926562159
V103,V331,0.926527198
V295,V331,0.926327826
V18,V84,0.926201291
V157,V155,0.926168808
V103,V307,0.926161177
V104,V297,0.926045635
V135,V319,0.926045162
V50,V93,0.925994344
V273,V177,0.92583711
V101,V103,0.925793303
V318,V316,0.925706295
V275,V211,0.925658442
V218,V323,0.925614892
C14,C2,0.925605614
V307,V97,0.925470208
V322,V280,0.92546828
V13,V12,0.92546175
V236,V182,0.925424821
V211,V332,0.92524344
V232,V211,0.925206545
V167,V332,0.925180105
V97,V95,0.92511236
V179,V143,0.925110347
V237,V329,0.92510256
V132,V333,0.924937243
V294,V212,0.924928148
V212,V307,0.924925716
V179,V298,0.924871021
V324,V95,0.924847179
V322,V97,0.924845681
V103,V293,0.924834485
V322,V324,0.924831527
V279,V324,0.924801316
V168,V132,0.924784582
V316,V168,0.924697341
C2,C12,0.924585528
V50,V72,0.924510217
V103,V132,0.924417767
V323,V167,0.924298361
V332,V143,0.924277373
V285,V327,0.924266119
V333,V316,0.924208944
V84,V85,0.924204967
V15,V34,0.924087154
V167,V96,0.924051404
V97,V279,0.924008029
V326,V287,0.923907109
V243,V229,0.923778557
V307,V331,0.923732293
V101,V168,0.923697122
V168,V293,0.923615731
V333,V101,0.92359866
V96,V143,0.923594046
V331,V212,0.923587352
V323,V143,0.92350578
V318,V293,0.923459337
V212,V316,0.92345334
V293,V333,0.923432831
V51,V15,0.923324502
V212,V132,0.923291124
V259,V222,0.923240218
V273,V332,0.9232292
V96,V211,0.923222067
V193,V187,0.923200099
V332,V177,0.923111319
V331,V280,0.923067979
V212,V233,0.923058986
V335,V298,0.92305425
V273,V167,0.923041298
V95,V318,0.923009888
V299,V328,0.923003568
V233,V213,0.9229161
C2,C7,0.922901775
V307,V322,0.922899308
V323,V211,0.922869913
V57,V33,0.922861329
V332,V231,0.922829277
V298,V280,0.922781944
V320,V319,0.922781343
V103,V316,0.922737847
V31,V72,0.922721816
V280,V275,0.9227179
V331,V324,0.922701688
V97,V331,0.92262256
V164,V134,0.922536806
V213,V143,0.922445517
V213,V105,0.922423394
V164,V318,0.922358593
V127,V132,0.922322217
V95,V127,0.922232119
V338,V333,0.922117887
V323,V177,0.921946789
V126,V332,0.921910385
V90,V49,0.921906213
V21,V59,0.921845174
V96,V177,0.921749266
V329,V213,0.92163969
V57,V92,0.921424289
V219,V211,0.92134821
V148,V149,0.92129719
V303,V304,0.921290572
V212,V279,0.921272181
V127,V279,0.92118075
V127,V164,0.921178644
V318,V132,0.921161238
V95,V212,0.92111996
V279,V295,0.920991442
V16,V51,0.920930748
V315,V313,0.920924433
V322,V212,0.920921181
V183,V236,0.920673951
